time;section_name;reef_section;transect_id;point_id
Oligocene;Porto Miggiano;proximal slope;PML1;Sediment
Oligocene;Porto Miggiano;proximal slope;PML1;Sediment
Oligocene;Porto Miggiano;proximal slope;PML1;Sediment
Oligocene;Porto Miggiano;proximal slope;PML1;Sediment
Oligocene;Porto Miggiano;proximal slope;PML1;Sediment
Oligocene;Porto Miggiano;proximal slope;PML1;Sediment
Oligocene;Porto Miggiano;proximal slope;PML1;Sediment
Oligocene;Porto Miggiano;proximal slope;PML1;Sediment
Oligocene;Porto Miggiano;proximal slope;PML1;Sediment
Oligocene;Porto Miggiano;proximal slope;PML1;Sediment
Oligocene;Porto Miggiano;proximal slope;PML1;Sediment
Oligocene;Porto Miggiano;proximal slope;PML2;Sediment
Oligocene;Porto Miggiano;proximal slope;PML2;Sediment
Oligocene;Porto Miggiano;proximal slope;PML2;Sediment
Oligocene;Porto Miggiano;proximal slope;PML2;Sediment
Oligocene;Porto Miggiano;proximal slope;PML2;Sediment
Oligocene;Porto Miggiano;proximal slope;PML2;Sediment
Oligocene;Porto Miggiano;proximal slope;PML2;Sediment
Oligocene;Porto Miggiano;proximal slope;PML2;Sediment
Oligocene;Porto Miggiano;proximal slope;PML2;Sediment
Oligocene;Porto Miggiano;proximal slope;PML2;Sediment
Oligocene;Porto Miggiano;proximal slope;PML2;Sediment
Oligocene;Porto Miggiano;proximal slope;PML2;Sediment
Oligocene;Porto Miggiano;proximal slope;PML2;Sediment
Oligocene;Porto Miggiano;proximal slope;PML3;Sediment
Oligocene;Porto Miggiano;proximal slope;PML3;Sediment
Oligocene;Porto Miggiano;proximal slope;PML3;Sediment
Oligocene;Porto Miggiano;proximal slope;PML3;Sediment
Oligocene;Porto Miggiano;proximal slope;PML3;Sediment
Oligocene;Porto Miggiano;proximal slope;PML3;Sediment
Oligocene;Porto Miggiano;proximal slope;PML3;Sediment
Oligocene;Porto Miggiano;proximal slope;PML3;Sediment
Oligocene;Porto Miggiano;proximal slope;PML3;Sediment
Oligocene;Porto Miggiano;proximal slope;PML3;Sediment
Oligocene;Porto Miggiano;proximal slope;PML3;Sediment
Oligocene;Porto Miggiano;proximal slope;PML3;Sediment
Oligocene;Porto Miggiano;proximal slope;PML3;Sediment
Oligocene;Porto Miggiano;proximal slope;PML3;Sediment
Oligocene;Porto Miggiano;proximal slope;PML4;Sediment
Oligocene;Porto Miggiano;proximal slope;PML4;Sediment
Oligocene;Porto Miggiano;proximal slope;PML4;Sediment
Oligocene;Porto Miggiano;proximal slope;PML4;Sediment
Oligocene;Porto Miggiano;proximal slope;PML4;Sediment
Oligocene;Porto Miggiano;proximal slope;PML4;Sediment
Oligocene;Porto Miggiano;proximal slope;PML4;Sediment
Oligocene;Porto Miggiano;proximal slope;PML4;Sediment
Oligocene;Porto Miggiano;proximal slope;PML4;Sediment
Oligocene;Porto Miggiano;proximal slope;PML4;Sediment
Oligocene;Porto Miggiano;proximal slope;PML4;Sediment
Oligocene;Porto Miggiano;proximal slope;PML4;Sediment
Oligocene;Porto Miggiano;proximal slope;PML4;Sediment
Oligocene;Porto Miggiano;proximal slope;PML4;Sediment
Oligocene;Porto Miggiano;proximal slope;PML4;Sediment
Oligocene;Porto Miggiano;proximal slope;PML4;Sediment
