gr.por.trait_name;gr.por.specie_name;gr.por.value;gr.por.standard_unit;gr.por.value_type;gr.por.location_name;;gr.por.methodology_name;;;;
Growth rate;Porites lutea;23,2;mm yr^-1;mean;Ko Phuket; Thailand;Alizarin stain;;;;
Growth rate;Porites lutea;21,9;mm yr^-1;mean;Ko Phuket; Thailand;Alizarin stain;;;;
Growth rate;Porites lutea;18;mm yr^-1;mean;Ko Phuket; Thailand;Alizarin stain;;;;
Growth rate;Porites lutea;23,2;mm yr^-1;mean;Ko Phuket; Thailand;Alizarin stain;;;;
Growth rate;Porites lutea;18,4;mm yr^-1;mean;Ko Phuket; Thailand;Alizarin stain;;;;
Growth rate;Porites lutea;20,2;mm yr^-1;mean;Ko Phuket; Thailand;Alizarin stain;;;;
Growth rate;Porites lutea;16,3;mm yr^-1;mean;Ko Phuket; Thailand;Alizarin stain;;;;
Growth rate;Porites lutea;13,7;mm yr^-1;mean;Ko Phuket; Thailand;Alizarin stain;;;;
Growth rate;Porites astreoides;6,5;mm yr^-1;mean;Barbados;Alizarin stain;;;;;
Growth rate;Porites lutea;17,7;mm yr^-1;mean;Phuket Island;Alizarin stain;;;;;
Growth rate;Porites cylindrica;12,85;mm yr^-1;mean;Bolinao; Phillipines;Ruler measurement;;;;
Growth rate;Porites lobata;7,6;mm yr^-1;mean;Rib Reef;X-radiography (densitometer);;;;;
Growth rate;Porites lobata;10,4;mm yr^-1;mean;Rib Reef;X-radiography (densitometer);;;;;
Growth rate;Porites lobata;18,8;mm yr^-1;mean;Rib Reef;X-radiography (densitometer);;;;;
Growth rate;Porites lobata;9,9;mm yr^-1;mean;Rib Reef;X-radiography (densitometer);;;;;
Growth rate;Porites lobata;10,7;mm yr^-1;mean;Rib Reef;X-radiography (densitometer);;;;;
Growth rate;Porites lobata;13,3;mm yr^-1;mean;Rib Reef;X-radiography (densitometer);;;;;
Growth rate;Porites lobata;3;mm yr^-1;mean;Hawaii;X-radiography (densitometer);;;;;
Growth rate;Porites lobata;13;mm yr^-1;mean;Hawaii;X-radiography (densitometer);;;;;
Growth rate;Porites astreoides;4,07;mm yr^-1;mean;Jamaica;Image analysis;;;;;
Growth rate;Porites lobata;7,1;mm yr^-1;mean;Oahu;Ruler measurement;;;;;
Growth rate;Porites compressa;7,3;mm yr^-1;mean;Oahu;Ruler measurement;;;;;
Growth rate;Porites compressa;10,8;mm yr^-1;mean;Oahu;Ruler measurement;;;;;
Growth rate;Porites evermanni;11,6;mm yr^-1;mean;Oahu;Ruler measurement;;;;;
Growth rate;Porites lutea;11,6;mm yr^-1;mean;Oahu;Ruler measurement;;;;;
Growth rate;Porites lobata;10,1;mm yr^-1;mean;Oahu;Ruler measurement;;;;;
Growth rate;Porites lobata;7,1;mm yr^-1;mean;Johnston Atoll;X-radiography (densitometer);;;;;
Growth rate;Porites lutea;7,8;mm yr^-1;mean;Johnston Atoll;X-radiography (densitometer);;;;;
Growth rate;Porites astreoides;4,25;mm yr^-1;mean;Discovery Bay; Jamaica;Image analysis;;;;
Growth rate;Porites lutea;9,76;mm yr^-1;mean;Wakatobi Marine National Park;Image analysis;;;;;
Growth rate;Porites astreoides;7,8;mm yr^-1;mean;Discovery Bay; Jamaica;Ruler measurement;;;;
Growth rate;Porites astreoides;8;mm yr^-1;mean;Discovery Bay; Jamaica;Ruler measurement;;;;
Growth rate;Porites porites;13,3;mm yr^-1;mean;Discovery Bay; Jamaica;;;;;
Growth rate;Porites compressa;7,66;mm yr^-1;mean;Kaneohe Bay; Oahu;;;;;
Growth rate;Porites compressa;8,13;mm yr^-1;mean;Oahu;;;;;;
Growth rate;Porites lobata;5,3;mm yr^-1;mean;Shikoku Island; Japan;X-radiography (densitometer);;;;
Growth rate;Porites lutea;7;mm yr^-1;mean;Ishigaki Island;X-radiography (densitometer);;;;;
Growth rate;Porites lutea;15,4;mm yr^-1;mean;Phuket Island;X-radiography (densitometer);;;;;
Growth rate;Porites lutea;18,4;mm yr^-1;mean;Phuket Island;X-radiography (densitometer);;;;;
Growth rate;Porites lutea;20;mm yr^-1;mean;Palmyra Atoll; Polynesia;X-radiography (densitometer);;;;
Growth rate;Porites lutea;10,5;mm yr^-1;mean;Enewetak Atoll; Marshall Islands;X-radiography (densitometer);;;;
Growth rate;Porites lobata;3,02;mm yr^-1;mean;Maui;X-radiography (densitometer);;;;;
Growth rate;Porites lobata;8,02;mm yr^-1;mean;Maui;X-radiography (densitometer);;;;;
Growth rate;Porites lobata;10,81;mm yr^-1;mean;Maui;X-radiography (densitometer);;;;;
Growth rate;Porites lobata;11,57;mm yr^-1;mean;Maui;X-radiography (densitometer);;;;;
Growth rate;Porites lobata;11,6;mm yr^-1;mean;Maui;X-radiography (densitometer);;;;;
Growth rate;Porites lobata;13,49;mm yr^-1;mean;Maui;X-radiography (densitometer);;;;;
Growth rate;Porites lobata;13;mm yr^-1;mean;Hilutangan Channel; Phillipines;X-radiography (densitometer);;;;
Growth rate;Porites astreoides;5,25;mm yr^-1;mean;Panama;X-radiography (densitometer);;;;;
Growth rate;Porites astreoides;5,9;mm yr^-1;mean;Barbados;X-radiography (densitometer);;;;;
Growth rate;Porites lutea;11,3;mm yr^-1;mean;Xiaodonghai; Hainan Island;X-radiography (densitometer);;;;
Growth rate;Porites lutea;17,73;mm yr^-1;mean;Palau;X-radiography (densitometer);;;;;
Growth rate;Porites lutea;13;mm yr^-1;mean;Ningaloo;;;;;;
Growth rate;Porites astreoides;8,75;mm yr^-1;mean;Dry Tortugas National Park; Florida;;;;;
Growth rate;Porites porites;14,15;mm yr^-1;mean;Dry Tortugas National Park; Florida;;;;;
Growth rate;Porites furcata;15,9;mm yr^-1;mean;Dry Tortugas National Park; Florida;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
