time;mean growth;genus;specimen_id;reef section
modern;4,5;;;
modern;3,4;;;
modern;2,9;;;
modern;1,5;;;
modern;1,6;;;
modern;1,8;;;
modern;1,7;;;
modern;1,3;;;
modern;8,3;;;
modern;5,4;;;
modern;6,3;;;
modern;6,5;;;
modern;7,6;;;
modern;8,9;;;
modern;8,9;;;
modern;7,4;;;
modern;3,4;;;
modern;7,4;;;
modern;4,4;;;
modern;4,9;;;
modern;8,3;;;
modern;7,4;;;
modern;2,4;;;
modern;2,8;;;
modern;3,4;;;
modern;2;;;
modern;2,5;;;
modern;1,8;;;
modern;2,5;;;
modern;1,8;;;
modern;1,5;;;
modern;1,5;;;
modern;2,2;;;
modern;0,7;;;
modern;7,8;;;
modern;6,8;;;
modern;9,2;;;
modern;9,3;;;
modern;8,3;;;
modern;8,3;;;
modern;7,2;;;
modern;8,8;;;
modern;4,3;;;
modern;10,2;;;
modern;5,4;;;
modern;3,9;;;
modern;2,5;;;
modern;2,2;;;
modern;1,5;;;
modern;2,3;;;
modern;2,2;;;
modern;1,4;;;
modern;10,7;;;
modern;11,9;;;
modern;6,5;;;
modern;6,1;;;
modern;7,5;;;
modern;1,9;;;
modern;3,1;;;
modern;2,5;;;
modern;1,5;;;
modern;2,6;;;
modern;2,5;;;
modern;2,3;;;
modern;3,1;;;
modern;1,8;;;
modern;138,5;;;
modern;57,81;;;
modern;20,9;;;
modern;22,4;;;
modern;16,7;;;
modern;23,6;;;
modern;12,4;;;
modern;14;;;
modern;49,4;;;
modern;2,6;;;
modern;3,4;;;
modern;4,6;;;
modern;3,3;;;
modern;2,9;;;
modern;2,8;;;
modern;2,7;;;
modern;2,5;;;
modern;16,1;;;
modern;10,5;;;
modern;16,7;;;
modern;4,68;;;
modern;3,18;;;
modern;2,98;;;
modern;1,8;;;
modern;3,4;;;
modern;2,5;;;
modern;2,1;;;
modern;1,7;;;
modern;1,7;;;
modern;1,6;;;
modern;1,4;;;
modern;4,1;;;
modern;3,9;;;
modern;3,8;;;
modern;4,3;;;
modern;6,4;;;
modern;6,8;;;
modern;30,98861538;;;
modern;31,64861538;;;
modern;24,31292308;;;
modern;23,32430769;;;
modern;18,87323077;;;
modern;19,28584615;;;
modern;23,81907692;;;
modern;16,31907692;;;
modern;20,68707692;;;
modern;19,12061538;;;
modern;15,08215385;;;
modern;16,31907692;;;
modern;23,02;;;
modern;22,52;;;
modern;22,13;;;
modern;23,76;;;
modern;21,83;;;
modern;18,27;;;
modern;23,91;;;
modern;18,76;;;
modern;20,5;;;
modern;16,73;;;
modern;14,16;;;
modern;0,629;;;
modern;0,621;;;
modern;0,826;;;
modern;0,301;;;
modern;0,39;;;
modern;0,46;;;
modern;30,8;;;
modern;9,6;;;
modern;19,2;;;
modern;16,3;;;
modern;13,634;;;
modern;13,634;;;
modern;22,222;;;
