time;;specimen_id;genus;Section name;latitude;longitude;height (cm);width (cm);growth mm;comments;;;
Oligocene;Oligocene reef front;SC5;Porites;SC;40,038889;18,443056;60;130;6,14;;;;
Oligocene;Oligocene reef front;SC5;Porites;SC;40,038889;18,443056;60;130;2,19;;;;
Oligocene;Oligocene reef front;SC5;Porites;SC;40,038889;18,443056;60;130;2,52;;;;
Oligocene;Oligocene reef front;SC5;Porites;SC;40,038889;18,443056;60;130;7,26;;;;
Oligocene;Oligocene reef front;SC5;Porites;SC;40,038889;18,443056;60;130;6,43;;;;
Oligocene;Oligocene reef front;SC5;Porites;SC;40,038889;18,443056;60;130;3,93;;;;
Oligocene;Oligocene reef front;SC5;Porites;SC;40,038889;18,443056;60;130;4,43;;;;
Oligocene;Oligocene reef front;SC5;Porites;SC;40,038889;18,443056;60;130;3,92;left;;;
Oligocene;Oligocene reef front;SC5;Porites;SC;40,038889;18,443056;60;130;5,36;;;;
Oligocene;Oligocene reef front;SC5;Porites;SC;40,038889;18,443056;60;130;3,16;;;;
Oligocene;Oligocene reef front;SC5;Porites;SC;40,038889;18,443056;60;130;3,1;;;;
Oligocene;Oligocene reef front;SC5;Porites;SC;40,038889;18,443056;60;130;4,44;;;;
Oligocene;Oligocene reef front;SC5;Porites;SC;40,038889;18,443056;60;130;4,15;;;;
Oligocene;Oligocene reef front;SC5;Porites;SC;40,038889;18,443056;60;130;3,67;;;;
Oligocene;Oligocene reef front;SC5;Porites;SC;40,038889;18,443056;60;130;3,56;;;;
Oligocene;Oligocene reef front;SC5;Porites;SC;40,038889;18,443056;60;130;4,2;;;;
Oligocene;Oligocene reef front;SC5;Porites;SC;40,038889;18,443056;60;130;4,02;;;;
Oligocene;Oligocene reef front;SC5;Porites;SC;40,038889;18,443056;60;130;3,82;;;;
Oligocene;Oligocene reef front;SC5;Porites;SC;40,038889;18,443056;60;130;3,31;;;;
Oligocene;Oligocene reef front;SC5;Porites;SC;40,038889;18,443056;60;130;4,8;;;;
Oligocene;Oligocene reef front;SC5;Porites;SC;40,038889;18,443056;60;130;4,96;;;;
Oligocene;Oligocene reef front;SC5;Porites;SC;40,038889;18,443056;60;130;8,52;;;;
Oligocene;Oligocene reef front;SC5;Porites;SC;40,038889;18,443056;60;130;6,91;;;;
